,경기번호,팀명,경기날짜,결과,No.,이름,출전세트_1set,출전세트_2set,출전세트_3set,출전세트_4set,출전세트_5set,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실
12,1,현대캐피탈,2017-10-14,1,6,이승원 (S),,3,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.97,1,1,0,0,0.5,1.61,2,2,0,1,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1,현대캐피탈,2017-10-14,1,13,홍민기 (C),3,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,대한항공,2017-10-14,0,6,가스파리니 (R),O,O,O,O,,26,46,24,5,5,52.17,41.44,13,6,2,1,46.15,39.39,2,2,0,0,100,66.67,0,0,0,0,0,0,14,6,1,4,42.86,63.64,0,0,0,0,0,0,17,10,2,0,58.82,48.57,17,2,5,0.5,16.83,6,5,1,0,1.25,10.17,0,0,0,0,0,0,0,0,0,0,9,0,4,3,1,0,21.43,0,0,11
15,1,대한항공,2017-10-14,0,9,곽승석 (L),O,O,O,8,,10,16,8,2,0,50,14.41,7,4,0,0,57.14,21.21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,100,13.64,0,0,0,0,0,0,6,1,2,0,16.67,17.14,12,1,3,0.25,11.88,8,7,1,0,1.75,13.56,1,0,0,0,0.88,23,13,2,2.75,28.05,5,1,0,3,0,0.25,11.9,1,0,3
16,1,대한항공,2017-10-14,0,10,정지석 (L),O,O,O,O,,9,22,8,2,1,36.36,19.82,9,2,1,0,22.22,27.27,1,0,0,0,0,33.33,0,0,0,0,0,0,5,3,0,1,60,22.73,0,0,0,0,0,0,7,3,1,0,42.86,20,15,0,6,0,14.85,11,8,3,0,2,18.64,6,3,0,0.75,5.26,35,20,0,5,42.68,6,1,2,3,0,0.25,14.29,0,0,7
17,1,대한항공,2017-10-14,0,16,진상헌 (C),O,O,12,O,,6,7,5,1,1,71.43,6.31,1,1,0,0,100,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,1,66.67,33.33,0,0,0,0,0,0,10,1,1,0.25,9.9,3,2,0,1,0.5,5.08,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,9.52,1,0,3
18,1,대한항공,2017-10-14,0,19,진성태 (C),,16,O,O,,6,7,5,0,0,71.43,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,71.43,38.89,0,0,0,0,0,0,7,0,2,0,6.93,4,2,1,1,0.67,6.78,0,0,0,0,0,1,0,0,0,1.22,8,1,1,4,0,0.33,19.05,0,0,3
19,1,대한항공,2017-10-14,0,8,김학민 (L),,,,O,,5,6,3,0,0,50,5.41,1,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,60,14.29,9,2,2,2,8.91,3,2,1,0,2,5.08,1,0,0,0,0.88,5,1,0,1,6.1,0,0,0,0,0,0,0,0,0,2
20,1,대한항공,2017-10-14,0,12,조재영 (C),O,O,O,,,4,5,3,0,1,60,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,60,27.78,0,0,0,0,0,0,11,0,2,0,10.89,5,4,1,0,1.33,8.47,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0,0.33,16.67,1,0,3
21,1,대한항공,2017-10-14,0,2,한선수 (S),O,O,O,O,,4,2,2,0,0,100,1.8,2,2,0,0,100,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,0.5,13.86,8,5,3,0,1.25,13.56,86,46,1,11.5,75.44,0,0,0,0,0,2,0,1,0,0,0,4.76,0,0,4
22,1,대한항공,2017-10-14,0,7,김철홍 (C),,9,,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.98,1,0,1,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,대한항공,2017-10-14,0,4,백광현 (Li),LI,LI,LI,LI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,1.5,15.25,4,1,0,0.25,3.51,18,10,2,2,21.95,0,0,0,0,0,0,0,0,0,0
24,1,대한항공,2017-10-14,0,1,신영수 (L),2,,6,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,대한항공,2017-10-14,0,3,황승빈 (S),,,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.98,1,1,0,0,1,1.69,16,4,0,4,14.04,0,0,0,0,0,1,0,0,1,0,0,2.38,0,0,0
